NR_CONTA;30002
DT. MOV;CD.OPER;OPERACAO;HIST. AUX; CONCIL.;ESPECIE;NR. DOC;CREDITO;DEBITO;SALDO;SLD. CONCIL"
31/12/2025;;;;;;;;;-19.987,56;-54.691,16
TOTAL DIA;;;;;;;88,25 ;88,25;-20.000,00;-53.377,61
13/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;224260;345,25;;-19.654,75
13/02/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 210 COOP;Sim;Dinheiro;;;345,25;-20.000,00
TOTAL DIA;;;;;;;345,25 ;345,25;-20.000,00;-53.377,61
16/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;224378;119,25;;-19.880,75
TOTAL DIA;;;;;;;119,25 ;0,00;-19.880,75;-53.377,61
18/02/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 209 COOP;Sim;Dinheiro;;;119,25;-20.000,00
TOTAL DIA;;;;;;;0,00 ;119,25;-20.000,00;-53.377,61
20/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;224716;135,25;;-19.864,75
20/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;224806;239,25;;-19.625,50
20/02/2026;95;C TED-TRANSF ELET DISPON;AJUSTE SALDO ARQUIVO RETORNO LIDO ERRADO;Sim;Outro documento;;135,25;;-19.490,25
20/02/2026;75;TRANSFERENCIA ENTRE CONTAS;AJUSTE SALDO ARQUIVO RETORNO LIDO ERRADO;Sim;Outro documento;;;135,25;-19.625,50
20/02/2026;75;TRANSFERENCIA ENTRE CONTAS;AJUSTE SALDO ARQUIVO RETORNO LIDO ERRADO;Sim;Outro documento;;;135,25;-19.760,75
20/02/2026;95;C TED-TRANSF ELET DISPON;AJUSTE SALDO ARQUIVO RETORNO LIDO ERRADO;Sim;Outro documento;;135,25;;-19.625,50
20/02/2026;269;CHEQUE ESPECIAL;;Sim;Outro documento;;;135,25;-19.760,75
20/02/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 208 COOP;Sim;Dinheiro;;;239,25;-20.000,00
TOTAL DIA;;;;;;;645,00 ;645,00;-20.000,00;-53.377,61
23/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;224889;99,25;;-19.900,75
23/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;225155;75,25;;-19.825,50
23/02/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 214 COOP;Sim;Dinheiro;;;174,50;-20.000,00
TOTAL DIA;;;;;;;174,50 ;174,50;-20.000,00;-53.377,61
27/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;225511;569,25;;-19.430,75
27/02/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;225514;129,25;;-19.301,50
27/02/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 215 COOP;Sim;Dinheiro;;;698,50;-20.000,00
TOTAL DIA;;;;;;;698,50 ;698,50;-20.000,00;-53.377,61
02/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;226245;188,25;;-19.811,75
02/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 216 COOP;Sim;Dinheiro;;;188,25;-20.000,00
02/03/2026;266;IOF;;Sim;Outro documento;;;15,95;-20.015,95
TOTAL DIA;;;;;;;188,25 ;204,20;-20.015,95;-54.153,06
04/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;226287;43,75;;-19.972,20
04/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;226321;236,25;;-19.735,95
04/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 228 COOP;Sim;Dinheiro;;;264,05;-20.000,00
TOTAL DIA;;;;;;;280,00 ;264,05;-20.000,00;-54.137,11
05/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;226383;373,25;;-19.626,75
05/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 229 COOP;Sim;Dinheiro;;;373,25;-20.000,00
TOTAL DIA;;;;;;;373,25 ;373,25;-20.000,00;-54.137,11
09/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;226786;122,25;;-19.877,75
09/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;226831;158,25;;-19.719,50
09/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;226756;62,25;;-19.657,25
09/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 223 COOP;Sim;Dinheiro;;;342,75;-20.000,00
TOTAL DIA;;;;;;;342,75 ;342,75;-20.000,00;-53.567,86
10/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;227216;139,25;;-19.860,75
